"","ID","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu"
"3486",3486,1,5566,13,1,921,2015,37,1,32,3,1,1,2,814,287,5,1,7,0,0,0,5,21,2,37000,0,2,190,1,2,156,2,1,2,5,0,0,1,2,5,0,0,99,11,1
"3487",3487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3488",3488,1,5023,13,0,921,2015,39,1,35,2,5,1,1,43,877,5,1,1,365,819,0,5,15,1,98000,36000,2,240,2,2,150,3,1,1,5,0,8,1,2,5,0,8,10,12,1
"3489",3489,1,159,29,0,922,2015,73,1,73,0,0,1,1,0,0,5,1,6,0,0,0,5,40,10,0,0,3,220,1,1,125,6,1,1,1,2,1,1,1,1,5,1,17,14,1
"3490",3490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3491",3491,1,6220,29,3,922,2015,47,2,0,2,14,5,2,331,798,5,3,0,0,0,0,0,0,40,9999998,0,2,165,6,0,0,0,0,0,0,0,0,1,1,1,4,1,16,0,3
"3492",3492,1,8627,29,0,922,2015,25,2,0,0,0,2,1,286,657,5,3,0,0,0,0,0,0,1,50000,0,1,150,1,0,0,0,0,0,0,0,0,1,1,1,4,1,16,0,2
"3493",3493,1,474,29,1,922,2015,50,1,48,0,0,1,2,51,447,5,1,1,470,477,0,5,12,5,185000,22000,3,220,8,3,170,4,1,1,1,2,1,1,1,1,2,1,14,14,1
"3494",3494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3495",3495,1,6250,29,0,922,2015,46,1,45,0,0,1,2,372,947,5,1,1,500,798,0,5,16,8,98000,58000,2,275,4,3,263,7,1,1,5,0,1,1,1,5,0,8,12,12,1
"3496",3496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3497",3497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3498",3498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3499",3499,1,5291,29,0,923,2015,61,1,51,1,15,1,3,551,638,5,1,1,62,819,0,5,2,4,30000,114000,2,190,2,2,115,3,1,1,1,5,0,1,3,5,0,0,11,17,1
"3500",3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3501",3501,1,8387,4,0,930,2015,62,1,61,0,0,1,3,912,618,5,1,1,526,937,0,5,12,8,37000,27000,3,265,0,2,165,8,1,1,1,2,0,1,1,5,0,0,12,14,1
"3502",3502,1,8732,4,8,930,2015,29,2,0,1,3,2,2,93,938,5,3,0,0,0,0,0,0,20,28000,0,2,140,0,0,0,0,0,0,0,0,0,1,1,1,1,0,13,0,8
"3503",3503,1,831,4,0,930,2015,26,1,0,0,0,2,3,936,877,5,2,0,0,0,0,0,0,5,30000,0,2,215,0,0,0,0,0,0,0,0,0,1,1,5,0,0,12,0,2
"3504",3504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3505",3505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3506",3506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3507",3507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3508",3508,1,5598,31,0,931,2015,44,1,41,2,5,1,2,11,607,5,1,1,181,739,0,5,3,10,115000,250000,1,215,11,3,170,6,1,1,1,4,0,1,1,1,4,10,16,16,1
"3509",3509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3510",3510,1,534,45,1,931,2015,45,1,46,0,0,1,2,896,398,1,1,1,422,916,0,5,30,0,24000,3000,3,280,10,3,180,5,1,1,1,0,8,1,1,5,0,8,12,12,1
"3511",3511,1,319,45,0,931,2015,68,1,63,0,0,1,1,422,509,5,1,1,350,797,0,5,20,0,7000,38500,3,179,8,2,200,2,1,2,1,2,8,1,1,5,0,8,12,14,1
"3512",3512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
