"","Release_number","interview_id","State","Family_comp_change","family_identifier","Year","head_age","head_sex","wife_age","num_child","age_youngest_child","head_marital_status","life_satisfaction","hd_occ","hd_ind","hd_wtr_unemployed","wtr_wf","hd_employ_status","wf_occ","wf_ind","hd_hrs_work_per_week","wf_wtr_unemployed","hd_housework_hrs","wf_housework_hrs","hd_wage","wf_wage","hd_health","hd_weight","hd_height","wf_health","wf_weight","wf_height","wf_race","wf_wtr_hs","wf_wtr_college","wf_highest_yr_complete","wf_religion","hd_race","hd_wtr_hs","hd_wtr_college","hd_highest_yr_complete","hd_religion","hd_change_in_marital_status","hd_edu","wf_edu","hd_adj_income"
"8367",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8368",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8369",1,2859,4,4,2129,2015,27,1,26,0,0,1,2,102,219,5,1,3,435,857,0,5,5,4,70000,9999998,1,160,9,2,135,6,1,1,1,4,8,1,1,1,4,8,16,16,5,32002.0768506679
"8370",1,492,45,0,2130,2015,81,2,0,0,0,4,2,0,0,5,3,0,0,0,0,0,0,8,0,0,3,147,11,0,0,0,0,0,0,0,0,1,1,1,0,8,12,0,2,0
"8371",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8372",1,3448,10,0,2130,2015,36,1,43,2,7,1,2,146,729,5,1,1,106,729,0,5,20,15,124000,30000,2,230,11,2,145,4,1,1,1,4,0,1,1,1,4,8,16,16,1,56689.3932783259
"8373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8374",1,589,10,0,2130,2015,67,1,60,0,0,1,2,422,786,1,1,1,234,789,0,5,3,3,23650,15656,3,175,6,3,147,2,1,1,1,5,8,1,1,1,4,0,16,17,1,10812.1302502614
"8375",1,914,45,0,2131,2015,87,1,84,0,0,1,3,0,0,5,1,6,0,0,0,5,12,12,0,0,4,200,3,5,160,4,4,1,1,0,0,1,1,1,2,0,14,12,1,0
"8376",1,762,9,0,2132,2015,74,1,70,0,0,1,2,0,0,5,1,4,0,0,0,5,40,35,0,0,2,210,0,2,160,6,1,1,1,2,8,1,1,1,5,8,17,14,1,0
"8377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8380",1,4166,5,0,2132,2015,38,1,38,2,4,1,2,71,739,5,1,1,492,707,0,5,30,10,115000,80000,1,182,10,3,130,2,1,1,1,4,8,1,1,1,5,8,17,16,1,52574.8405403829
"8381",1,2460,19,0,2133,2015,69,1,61,0,0,1,2,492,707,5,1,4,0,0,0,5,20,20,24000,0,1,210,0,1,120,5,1,1,1,4,8,1,1,1,5,8,17,16,1,10972.1406345147
"8382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8384",1,5853,19,0,2133,2015,39,1,38,4,2,1,2,85,697,5,1,1,500,648,0,5,5,14,89000,58000,2,205,2,2,175,8,1,1,1,4,1,1,1,1,5,1,17,16,1,40688.354852992
"8385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8386",1,5659,45,2,2133,2015,31,1,30,0,0,1,2,484,487,5,1,7,220,787,0,5,8,3,84000,10000,2,160,0,3,130,3,1,1,1,5,1,1,1,1,4,0,16,17,5,38402.4922208014
"8387",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8388",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8389",1,2811,7,0,2133,2015,37,1,37,3,4,1,2,471,687,5,1,1,205,916,0,5,10,4,110000,9000,3,205,8,2,135,6,1,1,1,5,8,1,1,1,2,8,14,17,1,50288.9779081924
"8390",1,7508,10,0,2133,2015,47,2,0,2,8,4,3,161,819,5,3,0,0,0,0,0,0,25,84000,0,3,135,3,0,0,0,0,0,0,0,0,1,1,1,5,8,17,0,2,38402.4922208014
"8391",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8392",1,6256,19,1,2133,2015,40,1,34,6,2,1,2,16,229,5,1,6,0,0,0,5,30,10,105000,0,2,160,0,2,150,9,1,1,1,4,8,1,1,1,4,8,16,16,1,48003.1152760018
"8393",1,7602,31,0,2133,2015,38,1,39,0,0,1,2,180,959,5,1,1,30,559,0,5,12,5,142000,54924,2,175,11,3,125,7,1,1,1,5,97,1,1,1,5,0,17,17,1,64918.4987542119
"8394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8396",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8397",1,4583,10,0,2137,2015,64,1,63,0,0,1,1,714,607,5,1,4,0,0,0,5,40,20,90000,0,2,170,9,2,208,8,1,1,5,0,8,1,1,5,0,8,12,12,1,41145.5273794301
"8398",1,5914,10,0,2137,2015,62,1,68,0,0,1,1,425,859,5,1,1,552,617,0,5,12,5,9999999,9999999,3,140,6,3,999,4,1,1,5,0,8,1,1,1,0,8,12,12,1,4571724.8072086
"8399",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8400",1,8767,10,0,2137,2015,40,1,40,2,11,1,1,2,467,5,1,1,570,237,0,5,20,20,108000,34000,1,214,4,1,150,0,1,1,5,0,8,1,1,1,2,8,14,12,1,49374.6328553161
"8401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8402",1,326,10,0,2137,2015,19,2,0,0,0,2,2,341,748,5,3,0,0,0,0,0,0,3,6000,0,3,150,6,0,0,0,0,0,0,0,0,1,1,1,0,8,12,0,2,2743.03515862867
"8403",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8405",1,8810,10,0,2137,2015,36,1,39,2,3,1,2,770,617,5,1,1,550,638,0,5,15,3,70000,62000,1,180,2,2,170,8,1,1,1,2,8,1,1,5,0,8,12,14,1,32002.0768506679
"8406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8408",1,1473,10,0,2138,2015,63,1,61,0,0,1,1,43,769,5,1,1,471,699,0,5,5,10,29000,185000,2,221,1,1,135,8,1,1,1,5,8,1,1,1,4,8,16,17,1,13258.0032667053
"8409",1,141,10,0,2138,2015,61,2,0,0,0,4,2,472,497,5,3,0,0,0,0,0,0,8,15046,0,3,185,7,0,0,0,0,0,0,0,0,1,1,5,0,8,12,0,2,6878.61783278784
"8410",1,2430,10,0,2138,2015,67,1,55,0,0,1,2,403,868,5,1,1,360,819,0,5,6,4,10000,20000,1,180,2,1,140,6,1,1,1,1,8,1,2,5,0,8,8,13,1,4571.72526438112
"8411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8412",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8413",1,3285,32,1,2138,2015,33,1,32,1,1,1,1,313,819,5,1,1,43,787,0,5,70,10,47000,50000,1,200,3,2,125,4,4,1,1,5,8,1,1,1,4,8,16,17,1,21487.1087425913
"8414",1,7509,10,1,2138,2015,23,1,0,0,0,2,3,562,529,1,2,0,0,0,0,0,0,5,11000,0,3,265,3,0,0,0,0,0,0,0,0,1,2,1,0,8,12,0,2,5028.89779081924
"8415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8417",1,5919,10,8,2138,2015,44,1,40,1,17,1,2,920,608,5,1,1,1,739,0,5,10,5,180000,50000,4,250,1,3,175,6,1,1,1,2,8,1,1,5,0,0,12,14,8,82291.0547588602
"8418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8421",1,17,9,0,2142,2015,65,1,0,0,0,4,3,0,0,5,2,0,0,0,0,0,0,2,0,0,3,350,0,0,0,0,0,0,0,0,0,1,1,1,1,1,13,0,2,0
"8422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8425",1,200,36,0,2145,2015,67,1,62,0,0,1,2,735,707,5,1,1,361,819,998,5,15,15,8399,34135,3,175,0,1,158,3,1,1,1,9,0,1,1,1,2,8,14,99,1,3839.79204955371
"8426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8427",1,2722,11,0,2146,2015,67,1,62,0,0,1,2,0,0,5,1,1,422,769,0,5,50,10,0,0,3,250,0,2,165,6,1,1,5,0,8,1,1,1,1,8,13,12,1,0
"8428",1,3691,36,0,2146,2015,60,1,0,0,0,4,3,476,527,1,2,0,0,0,0,0,0,5,1500,0,4,220,10,0,0,0,0,0,0,0,0,1,1,1,4,0,16,0,2,685.758789657168
"8429",1,8460,36,0,2146,2015,41,1,0,0,0,2,3,0,0,5,2,0,0,0,0,0,0,40,0,0,4,198,11,0,0,0,0,0,0,0,0,1,2,5,0,1,11,0,2,0
"8430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8431",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8433",1,5636,36,1,2146,2015,38,1,38,5,1,1,2,913,907,5,1,6,0,0,0,5,50,5,65000,0,2,165,10,3,240,8,1,1,1,0,8,1,2,5,0,8,10,12,1,29716.2142184773
"8434",1,8452,36,9,2146,2015,45,1,25,3,2,4,1,0,0,5,1,1,422,769,0,1,42,0,0,9999998,3,270,7,3,145,2,3,9,5,0,8,1,1,1,1,8,13,99,8,0
"8435",1,8311,36,1,2146,2015,39,1,35,1,4,2,2,454,867,5,1,2,632,77,0,5,20,10,0,26180,1,210,11,1,125,4,1,1,1,1,8,1,1,1,5,0,17,13,1,0
"8436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8439",1,3796,37,0,2150,2015,53,1,54,0,0,4,1,370,947,5,1,1,411,868,0,5,18,14,77800,27000,2,197,0,2,125,11,1,1,5,0,1,1,1,5,0,1,12,12,1,35568.0225568851
"8440",1,3630,37,1,2150,2015,34,1,0,1,14,4,2,0,0,5,2,0,0,0,0,0,0,25,0,0,2,250,3,0,0,0,0,0,0,0,0,1,1,5,0,1,12,0,2,0
"8441",1,8457,9,2,2150,2015,29,1,0,0,0,2,3,425,777,5,2,0,0,0,0,0,0,5,45000,0,4,220,4,0,0,0,0,0,0,0,0,1,2,5,0,8,9,0,3,20572.7636897151
"8442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8443",1,7457,9,3,2150,2015,28,2,0,1,3,2,3,341,917,5,3,0,0,0,0,0,0,20,28000,0,1,135,11,0,0,0,0,0,0,0,0,1,1,5,0,1,12,0,3,12800.8307402671
"8444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8445",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8446",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8448",1,3214,37,0,2151,2015,56,1,54,0,0,1,2,0,0,1,1,1,411,868,0,5,20,35,0,9000,4,285,6,1,150,5,1,1,5,0,1,1,1,5,0,1,12,12,1,0
"8449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8450",1,210,19,0,2151,2015,65,1,65,0,0,1,2,620,77,5,1,4,0,0,0,5,21,6,63132,0,3,200,0,4,125,0,1,2,5,0,99,1,2,5,0,1,10,10,1,28862.2159390909
"8451",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8452",1,4604,37,0,2151,2015,38,1,47,3,4,1,2,35,219,5,1,1,85,687,0,5,16,14,651000,98000,3,249,0,3,140,10,1,1,1,4,1,1,1,1,5,1,17,16,1,297619.314711211
"8453",1,114,37,0,2151,2015,37,1,0,0,0,2,2,43,659,5,2,0,0,0,0,0,0,3,15000,0,2,220,1,0,0,0,0,0,0,0,0,1,1,1,4,1,16,0,2,6857.58789657168
"8454",1,7533,45,8,2151,2015,36,2,0,0,0,4,3,5,699,5,3,0,0,0,0,0,0,15,15000,0,2,120,7,0,0,0,0,0,0,0,0,1,1,1,4,1,16,0,8,6857.58789657168
"8455",1,6056,37,0,2151,2015,35,1,35,1,5,1,1,382,947,5,1,1,233,786,0,5,15,10,87000,60000,3,240,0,3,130,7,1,1,1,5,1,1,1,1,4,1,16,17,1,39774.0098001158
"8456",1,5892,45,2,2151,2015,33,1,33,0,0,2,2,62,727,1,1,1,999,727,0,5,3,3,39000,9999998,2,235,4,2,130,7,1,1,1,2,0,1,1,1,5,1,17,14,5,17829.7285310864
"8457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8458",1,250,37,2,2151,2015,27,1,40,1,9,2,2,822,237,5,1,1,394,786,0,5,7,1,30000,10000,3,225,9,4,210,8,1,2,5,0,1,1,1,5,0,8,12,10,5,13715.1757931434
"8459",1,2978,37,1,2151,2015,27,2,0,0,0,2,3,562,439,5,3,0,0,0,0,0,0,12,23358,0,3,135,2,0,0,0,0,0,0,0,0,1,1,1,4,0,16,0,5,10678.6358725414
"8460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8463",1,65,37,0,2151,2015,61,1,60,0,0,1,3,101,819,5,1,1,562,538,0,5,8,0,115000,29000,4,250,10,5,242,4,1,1,1,1,1,1,1,1,5,1,17,13,1,52574.8405403829
"8464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8466",1,175,37,0,2151,2015,64,1,58,0,0,1,3,0,0,1,1,4,0,0,0,5,25,15,0,0,3,159,6,4,154,8,1,1,5,0,1,1,1,5,0,1,12,12,1,0
"8467",1,1655,37,0,2151,2015,41,1,42,0,0,1,1,981,987,5,1,1,380,947,0,5,5,2,50000,42000,1,250,0,1,150,7,1,1,1,4,1,1,1,1,2,1,14,16,1,22858.6263219056
"8468",1,6936,37,8,2151,2015,33,1,33,2,6,1,3,982,967,5,1,1,570,819,0,5,8,5,60000,40000,2,200,8,2,162,9,1,1,1,0,1,1,1,1,2,1,14,12,8,27430.3515862867
"8469",1,3232,37,0,2151,2015,36,1,32,0,0,1,2,102,738,5,1,1,182,787,0,5,3,6,59000,43500,2,210,0,2,140,4,1,1,1,5,0,1,1,1,5,0,17,17,1,26973.1790598486
"8470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8471",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8472",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8474",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8475",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
